Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
20060105 15:30,3.21,-9999,5.1,-9999
20060105 15:45,3.211,-9999,5.1,-9999
20060105 16:00,3.205,-9999,4.94,-9999
20060105 16:15,3.207,-9999,5,-9999
20060105 16:30,3.205,-9999,4.94,-9999
20060105 16:45,3.207,-9999,5,-9999
20060105 17:00,3.205,-9999,4.94,-9999
20060105 17:15,3.205,-9999,4.94,-9999
20060105 17:30,3.205,-9999,4.94,-9999
20060105 17:45,3.205,-9999,4.94,-9999
20060105 18:00,3.205,-9999,4.94,-9999
20060105 18:15,3.205,-9999,4.94,-9999
20060105 18:30,3.205,-9999,4.94,-9999
20060105 18:45,3.202,-9999,4.87,-9999
20060105 19:00,3.207,-9999,5,-9999
20060105 19:15,3.207,-9999,5,-9999
20060105 19:30,3.211,-9999,5.1,-9999
20060105 19:45,3.211,-9999,5.1,-9999
20060105 20:00,3.214,-9999,5.2,-9999
20060105 20:15,3.214,-9999,5.2,-9999
20060105 20:30,3.211,-9999,5.1,-9999
20060105 20:45,3.214,-9999,5.2,-9999
20060105 21:00,3.211,-9999,5.1,-9999
20060105 21:15,3.211,-9999,5.1,-9999
20060105 21:30,3.211,-9999,5.1,-9999
20060105 21:45,3.207,-9999,5,-9999
20060105 22:00,3.207,-9999,5,-9999
20060105 22:15,3.207,-9999,5,-9999
20060105 22:30,3.211,-9999,5.1,-9999
20060105 22:45,3.205,-9999,4.94,-9999
20060105 23:00,3.211,-9999,5.1,-9999
20060105 23:15,3.207,-9999,5,-9999
20060105 23:30,3.207,-9999,5,-9999
20060105 23:45,3.207,-9999,5,-9999
20060106  0:00,3.205,-9999,4.94,-9999
20060106  0:15,3.207,-9999,5,-9999
20060106  0:30,3.207,-9999,5,-9999
20060106  0:45,3.207,-9999,5,-9999
20060106  1:00,3.205,-9999,4.94,-9999
20060106  1:15,3.207,-9999,5,-9999
20060106  1:30,3.205,-9999,4.94,-9999
20060106  1:45,3.207,-9999,5,-9999
20060106  2:00,3.207,-9999,5,-9999
20060106  2:15,3.205,-9999,4.94,-9999
20060106  2:30,3.205,-9999,4.94,-9999
20060106  2:45,3.205,-9999,4.94,-9999
20060106  3:00,3.205,-9999,4.94,-9999
20060106  3:15,3.203,-9999,4.88,-9999
20060106  3:30,3.203,-9999,4.88,-9999
20060106  3:45,3.205,-9999,4.94,-9999
20060106  4:00,3.205,-9999,4.94,-9999
20060106  4:15,3.203,-9999,4.88,-9999
20060106  4:30,3.205,-9999,4.94,-9999
20060106  4:45,3.203,-9999,4.88,-9999
20060106  5:00,3.205,-9999,4.94,-9999
20060106  5:15,3.203,-9999,4.88,-9999
20060106  5:30,3.203,-9999,4.88,-9999
20060106  5:45,3.203,-9999,4.88,-9999
20060106  6:00,3.199,-9999,4.78,-9999
20060106  6:15,3.203,-9999,4.88,-9999
20060106  6:30,3.203,-9999,4.88,-9999
20060106  6:45,3.203,-9999,4.88,-9999
20060106  7:00,3.203,-9999,4.88,-9999
20060106  7:15,3.199,-9999,4.78,-9999
20060106  7:30,3.199,-9999,4.78,-9999
20060106  7:45,3.203,-9999,4.88,-9999
20060106  8:00,3.199,-9999,4.78,-9999
20060106  8:15,3.199,-9999,4.78,-9999
20060106  8:30,3.199,-9999,4.78,-9999
20060106  8:45,3.199,-9999,4.78,-9999
20060106  9:00,3.197,-9999,4.72,-9999
20060106  9:15,3.203,-9999,4.88,-9999
20060106  9:30,3.197,-9999,4.72,-9999
20060106  9:45,3.197,-9999,4.72,-9999
20060106 10:00,3.199,-9999,4.78,-9999
20060106 10:15,3.199,-9999,4.78,-9999
20060106 10:30,3.199,-9999,4.78,-9999
20060106 10:45,3.199,-9999,4.78,-9999
20060106 11:00,3.199,-9999,4.78,-9999
20060106 11:15,3.197,-9999,4.72,-9999
20060106 11:30,3.197,-9999,4.72,-9999
20060106 11:45,3.199,-9999,4.78,-9999
20060106 12:00,3.197,-9999,4.72,-9999
20060106 12:15,3.197,-9999,4.72,-9999
20060106 12:30,3.199,-9999,4.78,-9999
20060106 12:45,3.197,-9999,4.72,-9999
20060106 13:00,3.197,-9999,4.72,-9999
20060106 13:15,3.197,-9999,4.72,-9999
20060106 13:30,3.193,-9999,4.63,-9999
20060106 13:45,3.193,-9999,4.63,-9999
20060106 14:00,3.197,-9999,4.72,-9999
20060106 14:15,3.193,-9999,4.63,-9999
20060106 14:30,3.193,-9999,4.63,-9999
20060106 14:45,3.197,-9999,4.72,-9999
20060106 15:00,3.193,-9999,4.63,-9999
20060106 15:15,3.197,-9999,4.72,-9999
20060106 15:30,3.197,-9999,4.72,-9999
20060106 15:45,3.194,-9999,4.63,-9999
20060106 16:00,3.197,-9999,4.72,-9999
20060106 16:15,3.194,-9999,4.63,-9999
20060106 16:30,3.197,-9999,4.72,-9999
20060106 16:45,3.197,-9999,4.72,-9999
20060106 17:00,3.194,-9999,4.63,-9999
20060106 17:15,3.194,-9999,4.63,-9999
20060106 17:30,3.194,-9999,4.63,-9999
20060106 17:45,3.194,-9999,4.63,-9999
20060106 18:00,3.191,-9999,4.57,-9999
20060106 18:15,3.194,-9999,4.63,-9999
20060106 18:30,3.194,-9999,4.63,-9999
20060106 18:45,3.197,-9999,4.72,-9999
20060106 19:00,3.191,-9999,4.57,-9999
20060106 19:15,3.194,-9999,4.63,-9999
20060106 19:30,3.194,-9999,4.63,-9999
20060106 19:45,3.197,-9999,4.72,-9999
20060106 20:00,3.194,-9999,4.63,-9999
20060106 20:15,3.194,-9999,4.63,-9999
20060106 20:30,3.191,-9999,4.57,-9999
20060106 20:45,3.191,-9999,4.57,-9999
20060106 21:00,3.197,-9999,4.72,-9999
20060106 21:15,3.197,-9999,4.72,-9999
20060106 21:30,3.197,-9999,4.72,-9999
20060106 21:45,3.194,-9999,4.63,-9999
20060106 22:00,3.194,-9999,4.63,-9999
20060106 22:15,3.194,-9999,4.63,-9999
20060106 22:30,3.194,-9999,4.63,-9999
20060106 22:45,3.191,-9999,4.57,-9999
20060106 23:00,3.194,-9999,4.63,-9999
20060106 23:15,3.194,-9999,4.63,-9999
