Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
19810104  3:00,2.73,-9999,1.37,-9999
19810104  3:15,-9999,2.73,-9999,1.37
19810104  3:30,-9999,2.73,-9999,1.37
19810104  3:45,-9999,2.73,-9999,1.37
19810104  4:00,-9999,2.73,-9999,1.37
19810104  4:15,-9999,2.73,-9999,1.37
19810104  4:30,-9999,2.73,-9999,1.37
19810104  4:45,-9999,2.73,-9999,1.37
19810104  5:00,-9999,2.73,-9999,1.37
19810104  5:15,-9999,2.73,-9999,1.37
19810104  5:30,-9999,2.73,-9999,1.37
19810104  5:45,-9999,2.73,-9999,1.37
19810104  6:00,2.74,-9999,1.43,-9999
19810104  6:15,-9999,2.74,-9999,1.43
19810104  6:30,-9999,2.74,-9999,1.43
19810104  6:45,-9999,2.74,-9999,1.43
19810104  7:00,2.76,-9999,1.55,-9999
19810104  7:15,-9999,2.76,-9999,1.55
19810104  7:30,-9999,2.76,-9999,1.55
19810104  7:45,-9999,2.76,-9999,1.55
19810104  8:00,-9999,2.76,-9999,1.55
19810104  8:15,-9999,2.76,-9999,1.55
19810104  8:30,-9999,2.76,-9999,1.55
19810104  8:45,-9999,2.76,-9999,1.55
19810104  9:00,-9999,2.76,-9999,1.55
19810104  9:15,-9999,2.76,-9999,1.55
19810104  9:30,-9999,2.76,-9999,1.55
19810104  9:45,-9999,2.76,-9999,1.55
19810104 10:00,-9999,2.76,-9999,1.55
19810104 10:15,-9999,2.76,-9999,1.55
19810104 10:30,-9999,2.76,-9999,1.55
19810104 10:45,-9999,2.76,-9999,1.55
19810104 11:00,-9999,2.76,-9999,1.55
19810104 11:15,-9999,2.76,-9999,1.55
19810104 11:30,-9999,2.76,-9999,1.55
19810104 11:45,-9999,2.76,-9999,1.55
19810104 12:00,-9999,2.76,-9999,1.55
19810104 12:15,-9999,2.76,-9999,1.55
19810104 12:30,-9999,2.76,-9999,1.55
